RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,12/31/00,12/31/01,12/31/02,12/31/03,12/31/04,12/31/05,12/31/06,12/31/07,12/31/08,12/31/09,12/31/10,12/31/11,12/31/12,12/31/13,12/31/14,12/31/15,12/31/16,12/31/17,11/30/18,11/30/19,12/31/20,12/31/21,12/31/22,12/31/23,12/31/24,12/31/25,4/30/26
2350,2755,Huerfano County,county,CO,CO,,8,55,,,,,,,,,,108171.6068,107928.5173,109333.6036,109379.5546,113815.5378,118769.7177,124153.9244,132611.4345,142504.329,159395.197,172594.3972,200993.963,251956.5356,280073.2688,281448.7796,281596.0468,268751.1875,274145.3524
3007,2776,Rio Blanco County,county,CO,CO,,8,103,,,,,149386.2387,162337.2096,174950.1569,181219.517,188081.4051,186024.0734,183615.1337,183840.4091,183813.0147,188770.1893,185154.5895,187703.2037,191064.9832,200858.2656,207571.5998,218234.378,238719.2775,271119.4962,294652.6419,295048.0873,315606.7718,322523.0135,329928.1753
2517,2787,Saguache County,county,CO,CO,,8,109,,,,91354.35812,91462.18582,94856.23445,98331.63109,99924.05818,100972.6001,97411.85481,96104.10453,90436.33171,100521.6076,111674.4914,111559.2863,116864.0999,129345.0373,136670.7366,147456.9858,154551.1996,185794.7194,230093.2356,250871.7272,223874.3424,244640.0039,240330.2682,238395.5424
1645,2814,Crowley County,county,CO,CO,,8,25,,,,,,,,,,,,,,81874.37494,89402.20014,95040.85218,97052.31978,104869.1752,116198.1736,121466.5946,148332.933,164398.1901,176739.3247,163571.2405,169214.3169,158933.8455,156372.5082
99,2826,Bent County,county,CO,CO,,8,11,,,,,,,,,,53958.87944,51028.8135,47862.08142,52113.71601,58810.75648,65020.58705,68665.04965,77339.12426,86664.08252,101240.2871,89000.35281,123682.1601,151724.98,155401.738,151640.9472,144569.3008,118086.9213,122406.3095
1041,2829,Gilpin County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,47,,,,222832.8987,230661.6114,239229.7185,242526.8845,241102.0344,236064.9336,227212.6941,217850.9929,212590.149,222970.0016,236897.2109,254781.5878,283124.8562,316390.8498,343047.5029,372855.8099,385821.5582,437824.6671,505047.3776,552104.6125,555515.3724,570178.253,563134.4547,550519.0305
1864,2846,Lincoln County,county,CO,CO,,8,73,,,95469.15058,97379.15277,102716.6996,104751.2235,104404.8936,103862.8873,101404.0266,96144.61604,95098.34508,93637.55437,106813.7972,104932.7066,104751.9549,119427.9519,124018.216,133720.4028,148901.7306,165902.9171,197435.5249,235521.5756,252883.9414,243456.9377,248486.4626,252929.5102,260138.6849
665,2910,Ouray County,county,CO,CO,"Montrose, CO",8,91,,,,,,326798.0131,353404.7491,360961.7027,358822.9322,347405.2909,331744.538,330382.9197,327721.1675,342626.0559,350978.2066,368359.5845,387845.665,419872.8533,436554.6901,470605.5338,534553.4492,670980.5849,743775.0536,766018.3691,776356.9174,777811.6826,793362.6208
3049,2911,Washington County,county,CO,CO,,8,121,,,,,,,,,,,,,,,,,117040.8877,117773.9027,134823.1741,152765.095,178405.3492,207652.8697,226161.4144,225773.728,244777.3266,256775.8511,262452.592
965,2917,Custer County,county,CO,CO,,8,27,,,,,,,,,,164045.4335,153977.0316,142254.4693,153624.1882,170291.1758,180926.3763,194861.0738,204436.443,214779.6151,239143.1352,257958.8038,288581.8755,351270.244,384869.2654,392549.0662,413201.0957,408838.6936,411094.1866
2476,2935,Phillips County,county,CO,CO,,8,95,,,,,,,,,,,,,,,,,142688.2521,145750.5935,158720.4855,167824.9368,185465.2272,217967.4347,238008.4774,234296.3306,242156.2257,258509.1922,262834.7344
2225,3000,Costilla County,county,CO,CO,,8,23,,,,,,,,,,,,,,,,,134407.7256,137895.8403,146355.8653,155868.1948,173174.5683,206875.414,210664.2238,200047.354,205345.623,183204.4256,181604.2825
2536,3081,Sedgwick County,county,CO,CO,,8,115,,,,,,,,,,,,,,,,,,103194.468,117839.2387,125080.2974,139714.0002,155917.5844,181731.1487,170865.0231,183631.6067,177333.3141,174112.9005
1669,3093,Dolores County,county,CO,CO,,8,33,,,,,,,,,,,,,162751.8989,169654.2131,176105.6918,196504.2122,205376.278,207332.3586,230800.75,228911.584,251410.8185,281375.6485,303829.6126,296487.1545,308784.4036,295021.0745,301325.6311
2196,3147,Cheyenne County,county,CO,CO,,8,17,,,,,,,,,,,,,71134.39267,77606.40503,80542.19075,89642.63464,90351.95237,98954.43709,104589.6982,101627.2045,121972.7035,146678.4402,166058.8013,179448.2351,189958.8003,185413.4933,188646.5498
582,3158,Kiowa County,county,CO,CO,,8,61,,,,,,,,,,,,,,65717.02014,69052.88075,87435.42959,95222.24815,108068.1879,128821.8454,138648.5998,154484.6226,175347.0894,187468.2942,203277.4958,206734.5621,172912.7039,178422.8342
2345,3190,Hinsdale County,county,CO,CO,,8,53,,,,,,,,,,,,,,,,,,,,345372.4806,368272.6151,422411.9224,457580.017,459098.8123,461140.211,470859.3691,472772.0041
1933,3195,Mineral County,county,CO,CO,,8,79,,,,,,,,,,,,,,,,,216390.5278,222669.1984,241653.1836,264208.5558,303297.2423,365283.7461,397195.8614,401895.6943,423953.0642,431912.9405,437188.2512
2518,3202,San Juan County,county,CO,CO,,8,111,,,,,,,,,,,,,229124.6333,240497.7296,255955.3222,262157.3603,252593.6104,275047.6119,300309.2227,319752.4407,348316.6765,443092.624,492047.2687,540698.258,541584.9805,546547.058,546547.5555
